time,probe_a,probe_b
8.0400085e-01, 4.5017999e-01, 8.2106000e-01
8.0799866e-01, 4.1479999e-01, 6.9051999e-01
8.1199646e-01, 2.8669998e-01, 5.1849997e-01
8.1600189e-01, 1.9397999e-01, 3.4281999e-01
8.1999969e-01, 8.4179997e-02, 2.3301999e-01
8.2399750e-01,-6.2220000e-02, 3.3671999e-01
8.2800293e-01,-3.1720001e-01, 8.2959995e-02
8.3200073e-01,-4.5627999e-01,-2.5009999e-01
8.3599854e-01,-4.7823998e-01,-3.0256000e-01
8.3999634e-01,-6.2342000e-01,-4.0869999e-01
8.4400177e-01,-9.2354000e-01,-6.6855997e-01
8.4799957e-01,-7.3199999e-01,-5.7095999e-01
8.5199738e-01,-6.7831999e-01,-6.7100000e-01
8.5600281e-01,-5.0507998e-01,-7.4298000e-01
8.6000061e-01,-2.1227999e-01,-7.3688000e-01
8.6399841e-01, 1.0370000e-01,-5.3435999e-01
8.6799622e-01, 5.9292001e-01,-1.8422000e-01
8.7200165e-01, 5.2582002e-01, 1.7323999e-01
8.7599945e-01, 7.2711998e-01, 5.6119996e-01
8.7999725e-01, 7.6616001e-01, 6.4660001e-01
8.8400269e-01, 5.7339996e-01, 6.8075997e-01
8.8800049e-01, 6.8930000e-01, 7.0028001e-01
8.9199829e-01, 4.8433998e-01, 6.6855997e-01
8.9600372e-01, 3.0133998e-01, 4.5262000e-01
9.0000153e-01, 9.2720002e-02, 5.8072001e-01
9.0399933e-01,-3.7820000e-02, 3.5990000e-01
9.0799713e-01,-1.1346000e-01, 2.3789999e-01
9.1200256e-01,-2.4033999e-01, 7.3199999e-03
9.1600037e-01,-3.0622000e-01,-1.2199999e-01
9.1999817e-01,-5.7584000e-01,-2.6962000e-01
9.2400360e-01,-5.6242001e-01,-3.3550000e-01
9.2800140e-01,-7.5639999e-01,-4.5627999e-01
9.3199921e-01,-6.7710000e-01,-6.0023999e-01
9.3599701e-01,-7.8079998e-01,-6.5880001e-01
9.4000244e-01,-6.7710000e-01,-7.3199999e-01
9.4400024e-01,-2.3179999e-01,-7.4176002e-01
9.4799805e-01, 1.0370000e-01,-7.4541998e-01
9.5200348e-01, 4.6603999e-01,-3.0987999e-01
9.5600128e-01, 5.0141996e-01, 3.2573998e-01
