time,probe_a,probe_b
3.6800000e-01, 9.5741081e-01, 8.9002323e-01
3.7000000e-01, 9.6726418e-01, 9.1304111e-01
3.7200000e-01, 9.8912811e-01, 9.4649410e-01
3.7400000e-01, 9.9251556e-01, 9.6337318e-01
3.7600000e-01, 9.9590302e-01, 9.8209572e-01
3.7800000e-01, 9.9005222e-01, 9.9467850e-01
3.8000000e-01, 9.6079731e-01, 9.7227383e-01
3.8200000e-01, 9.2014790e-01, 9.4434547e-01
3.8400000e-01, 9.6695709e-01, 1.0091028e+00
3.8600000e-01, 8.7056828e-01, 8.9892387e-01
3.8800000e-01, 8.6656475e-01, 9.1672421e-01
3.9000000e-01, 8.4285355e-01, 8.7989521e-01
3.9200000e-01, 8.2961178e-01, 8.8756847e-01
3.9400000e-01, 8.0251217e-01, 8.4306717e-01
3.9600000e-01, 7.5909233e-01, 8.1452465e-01
3.9800000e-01, 7.3845863e-01, 7.8598213e-01
4.0000000e-01, 6.9134235e-01, 7.4639225e-01
4.0200000e-01, 6.6855431e-01, 7.2951317e-01
4.0400000e-01, 6.3745213e-01, 6.9452572e-01
4.0600000e-01, 6.1004448e-01, 6.6813183e-01
4.0800000e-01, 5.8971977e-01, 6.4081669e-01
4.1000000e-01, 5.6908703e-01, 6.1350250e-01
4.1200000e-01, 5.4968643e-01, 5.9171200e-01
4.1400000e-01, 5.2874660e-01, 5.6961536e-01
4.1600000e-01, 4.9302387e-01, 5.5089378e-01
4.1800000e-01, 4.7362328e-01, 5.4598331e-01
4.2000000e-01, 4.3913269e-01, 5.4045868e-01
4.2200000e-01, 4.0063953e-01, 5.3033066e-01
4.2400000e-01, 3.7046051e-01, 5.2787590e-01
4.2600000e-01, 3.3689499e-01, 5.0639248e-01
4.2800000e-01, 3.1195068e-01, 4.8889923e-01
4.3000000e-01, 2.8947067e-01, 4.6097088e-01
4.3200000e-01, 2.7438164e-01, 4.3672562e-01
4.3400000e-01, 2.5805950e-01, 4.0664864e-01
4.3600000e-01, 2.5282383e-01, 3.8823414e-01
4.3800000e-01, 2.5713539e-01, 3.7595844e-01
4.4000000e-01, 2.3742676e-01, 3.4649467e-01
4.4200000e-01, 2.4697304e-01, 3.4956360e-01
4.4400000e-01, 2.3188400e-01, 3.3115005e-01
4.4600000e-01, 2.3465538e-01, 3.2746696e-01
4.4800000e-01, 2.3157597e-01, 3.2010174e-01
4.5000000e-01, 2.1802616e-01, 3.0997372e-01
4.5200000e-01, 2.1895027e-01, 3.0322170e-01
4.5400000e-01, 2.1309948e-01, 2.9953957e-01
4.5600000e-01, 2.1525478e-01, 2.9186726e-01
4.5800000e-01, 1.9893456e-01, 2.7345181e-01
4.6000000e-01, 2.2356987e-01, 2.8787613e-01
4.6200000e-01, 2.2418499e-01, 2.7652073e-01
4.6400000e-01, 2.2387791e-01, 2.6516533e-01
4.6600000e-01, 2.4697304e-01, 2.7682781e-01
4.6800000e-01, 2.4912930e-01, 2.6946259e-01
4.7000000e-01, 2.7037811e-01, 2.8327274e-01
4.7200000e-01, 2.8392792e-01, 2.9094505e-01
4.7400000e-01, 3.0301952e-01, 3.0567741e-01
4.7600000e-01, 3.1564522e-01, 3.1764603e-01
4.7800000e-01, 3.2827187e-01, 3.3544636e-01
4.8000000e-01, 3.2765675e-01, 3.4158421e-01
4.8200000e-01, 3.5136795e-01, 3.7166214e-01
4.8400000e-01, 3.4182167e-01, 3.6767197e-01
4.8600000e-01, 3.5660267e-01, 3.8455200e-01
4.8800000e-01, 3.5352325e-01, 3.8148212e-01
4.9000000e-01, 3.6522579e-01, 3.9652061e-01
4.9200000e-01, 3.6553383e-01, 3.9652061e-01
4.9400000e-01, 3.6707306e-01, 4.0143108e-01
4.9600000e-01, 3.6768913e-01, 3.9989662e-01
4.9800000e-01, 3.7046051e-01, 4.0327263e-01
5.0000000e-01, 3.7631130e-01, 4.0879631e-01
5.0200000e-01, 3.8154602e-01, 4.0941048e-01
5.0400000e-01, 3.8862991e-01, 4.1616249e-01
5.0600000e-01, 3.8986206e-01, 4.1616249e-01
5.0800000e-01, 3.8555050e-01, 4.1370678e-01
5.1000000e-01, 3.9232540e-01, 4.2690468e-01
5.1200000e-01, 3.9817619e-01, 4.2935944e-01
5.1400000e-01, 3.8832188e-01, 4.2690468e-01
5.1600000e-01, 3.9478874e-01, 4.3641853e-01
5.1800000e-01, 3.9417267e-01, 4.3703270e-01
5.2000000e-01, 3.8955402e-01, 4.3365669e-01
5.2200000e-01, 3.9602089e-01, 4.4347763e-01
5.2400000e-01, 3.8924599e-01, 4.4286346e-01
5.2600000e-01, 3.8739872e-01, 4.4010162e-01
5.2800000e-01, 3.9725304e-01, 4.4255638e-01
5.3000000e-01, 4.0248775e-01, 4.4194317e-01
5.3200000e-01, 4.0495110e-01, 4.3519115e-01
5.3400000e-01, 4.0649128e-01, 4.3457699e-01
5.3600000e-01, 4.1326523e-01, 4.3519115e-01
5.3800000e-01, 4.1480541e-01, 4.3273544e-01
5.4000000e-01, 4.2927837e-01, 4.4194317e-01
5.4200000e-01, 4.2496777e-01, 4.3457699e-01
5.4400000e-01, 4.4252014e-01, 4.4777393e-01
5.4600000e-01, 4.4128895e-01, 4.4961548e-01
5.4800000e-01, 4.5022011e-01, 4.5606041e-01
5.5000000e-01, 4.6068954e-01, 4.5728779e-01
5.5200000e-01, 4.7362328e-01, 4.6741581e-01
5.5400000e-01, 4.8132229e-01, 4.6833611e-01
5.5600000e-01, 4.8963642e-01, 4.7539520e-01
5.5800000e-01, 5.0441742e-01, 4.7999954e-01
5.6000000e-01, 5.2197170e-01, 4.9166107e-01
5.6200000e-01, 5.4506779e-01, 5.0086880e-01
5.6400000e-01, 5.6169605e-01, 5.0117588e-01
5.6600000e-01, 5.8078957e-01, 5.1222420e-01
5.6800000e-01, 6.0696507e-01, 5.3401375e-01
5.7000000e-01, 6.1928272e-01, 5.4629040e-01
5.7200000e-01, 6.3252449e-01, 5.6102180e-01
5.7400000e-01, 6.4176369e-01, 5.8097076e-01
5.7600000e-01, 6.4607430e-01, 5.9140491e-01
5.7800000e-01, 6.4669037e-01, 5.9999847e-01
5.8000000e-01, 6.5315723e-01, 6.1902714e-01
5.8200000e-01, 6.5777683e-01, 6.3467884e-01
5.8400000e-01, 6.4299488e-01, 6.3836193e-01
5.8600000e-01, 6.3960838e-01, 6.4879608e-01
5.8800000e-01, 6.2482548e-01, 6.4971733e-01
5.9000000e-01, 6.1281586e-01, 6.4664745e-01
5.9200000e-01, 6.0080624e-01, 6.4173794e-01
5.9400000e-01, 5.8202171e-01, 6.3222408e-01
5.9600000e-01, 5.6539154e-01, 6.2792683e-01
5.9800000e-01, 5.3305721e-01, 6.1380959e-01
6.0000000e-01, 5.0226212e-01, 5.9907722e-01
6.0200000e-01, 4.7978210e-01, 5.9079075e-01
6.0400000e-01, 4.4529152e-01, 5.6961536e-01
6.0600000e-01, 4.2619896e-01, 5.5887318e-01
6.0800000e-01, 3.8308620e-01, 5.1805496e-01
6.1000000e-01, 3.8062286e-01, 5.1836205e-01
6.1200000e-01, 3.4890461e-01, 4.8859215e-01
6.1400000e-01, 3.3319950e-01, 4.7201920e-01
6.1600000e-01, 3.0733109e-01, 4.5237732e-01
6.1800000e-01, 2.7776814e-01, 4.2997360e-01
6.2000000e-01, 2.6298714e-01, 4.2352867e-01
6.2200000e-01, 2.5405598e-01, 4.0849018e-01
6.2400000e-01, 2.4358559e-01, 3.8393784e-01
6.2600000e-01, 2.3773479e-01, 3.5846519e-01
6.2800000e-01, 2.4666500e-01, 3.5171223e-01
6.3000000e-01, 2.5220871e-01, 3.4158421e-01
6.3200000e-01, 2.5467205e-01, 3.2900143e-01
6.3400000e-01, 2.7160931e-01, 3.3299160e-01
6.3600000e-01, 2.7900028e-01, 3.3145714e-01
6.3800000e-01, 2.9994011e-01, 3.3974361e-01
6.4000000e-01, 3.0640697e-01, 3.3575344e-01
6.4200000e-01, 3.2673264e-01, 3.4311867e-01
6.4400000e-01, 3.4551716e-01, 3.5293961e-01
6.4600000e-01, 3.7323189e-01, 3.6491013e-01
6.4800000e-01, 3.9201736e-01, 3.6705780e-01
6.5000000e-01, 4.1634464e-01, 3.7933445e-01
6.5200000e-01, 4.2435169e-01, 3.8209629e-01
6.5400000e-01, 4.4005680e-01, 3.9897537e-01
6.5600000e-01, 4.5545483e-01, 4.1094494e-01
6.5800000e-01, 4.7670269e-01, 4.2537022e-01
6.6000000e-01, 5.0103092e-01, 4.4685364e-01
6.6200000e-01, 5.1427269e-01, 4.5452595e-01
6.6400000e-01, 5.2412701e-01, 4.6833611e-01
6.6600000e-01, 5.4137230e-01, 4.9074078e-01
6.6800000e-01, 5.4876232e-01, 5.1314449e-01
6.7000000e-01, 5.4845428e-01, 5.2848911e-01
6.7200000e-01, 5.4753113e-01, 5.4230118e-01
6.7400000e-01, 5.3890800e-01, 5.5457687e-01
